team,stadium,capacity
Bayern Munich,Allianz Arena,75000
Dortmund,Signal Iduna Park,81359
Stuttgart,MHPArena,60469
M'gladbach,Stadion im Borussia-Park,54067
Ein Frankfurt,Frankfurt Stadyumu,52300
RB Leipzig,Red Bull Arena,44345
Werder Bremen,Weser Stadyumu,42358
Augsburg,Impuls Arena,30660
Wolfsburg,Volkswagen Arena,30000
Freiburg,Kara Orman Stadyumu,24036
Union Berlin,Stadion An der Alten Försterei,22012
