date,league,season,season_type,covid,home_team,away_team,home_goals,away_goals,result,home_last3_points,away_last3_points,result_label,home_form_group,away_form_group,stadium,capacity,ht_home_goals,ht_away_goals,ht_result
2020-09-13,Ligue 1,2020_2021,covid,1,Monaco,Nantes,2,1,H,4,4,Home Win,medium,medium,NA,NA,1.0,0.0,H
2020-09-13,Ligue 1,2020_2021,covid,1,Nimes,Rennes,2,4,A,3,4,Away Win,bad,medium,NA,NA,1.0,2.0,A
2020-09-13,Ligue 1,2020_2021,covid,1,Paris SG,Marseille,0,1,A,0,3,Away Win,bad,bad,NA,NA,0.0,1.0,A
2020-09-13,Premier League,2020_2021,covid,1,Tottenham,Everton,0,1,A,0,0,Away Win,bad,bad,White Hart Lane,36230.0,0.0,0.0,D
2020-09-13,Premier League,2020_2021,covid,1,West Brom,Leicester,0,3,A,0,0,Away Win,bad,bad,NA,NA,0.0,0.0,D
2020-09-14,Premier League,2020_2021,covid,1,Brighton,Chelsea,1,3,A,0,0,Away Win,bad,bad,Falmer Stadyumu,22500.0,0.0,1.0,A
2020-09-14,Premier League,2020_2021,covid,1,Sheffield United,Wolves,0,2,A,0,0,Away Win,bad,bad,NA,NA,0.0,2.0,A
2020-09-15,Ligue 1,2020_2021,covid,1,Montpellier,Lyon,2,1,H,3,4,Home Win,bad,medium,Stade de la Mosson,32939.0,1.0,0.0,H
2020-09-16,Ligue 1,2020_2021,covid,1,Paris SG,Metz,1,0,H,0,0,Home Win,bad,bad,NA,NA,0.0,0.0,D
2020-09-17,Ligue 1,2020_2021,covid,1,Marseille,St Etienne,0,2,A,6,6,Away Win,medium,medium,Vélodrome Stadyumu,60013.0,0.0,1.0,A
2020-09-18,Bundesliga,2020_2021,covid,1,Bayern Munich,Schalke 04,8,0,H,0,0,Home Win,bad,bad,NA,NA,3.0,0.0,H
2020-09-18,Ligue 1,2020_2021,covid,1,Lyon,Nimes,0,0,D,4,3,Draw,medium,bad,Gerland Stadyumu,41044.0,0.0,0.0,D
2020-09-19,Bundesliga,2020_2021,covid,1,Dortmund,M'gladbach,3,0,H,0,0,Home Win,bad,bad,Signal Iduna Park,81359.0,1.0,0.0,H
2020-09-19,Bundesliga,2020_2021,covid,1,Ein Frankfurt,Bielefeld,1,1,D,0,0,Draw,bad,bad,Frankfurt Stadyumu,52300.0,0.0,0.0,D
2020-09-19,Bundesliga,2020_2021,covid,1,FC Koln,Hoffenheim,2,3,A,0,0,Away Win,bad,bad,NA,NA,1.0,2.0,A
2020-09-19,Bundesliga,2020_2021,covid,1,Stuttgart,Freiburg,2,3,A,0,0,Away Win,bad,bad,MHPArena,60469.0,0.0,2.0,A
2020-09-19,Bundesliga,2020_2021,covid,1,Union Berlin,Augsburg,1,3,A,0,0,Away Win,bad,bad,Stadion An der Alten Försterei,22012.0,0.0,1.0,A
2020-09-19,Bundesliga,2020_2021,covid,1,Werder Bremen,Hertha,1,4,A,0,0,Away Win,bad,bad,Weser Stadyumu,42358.0,0.0,2.0,A
2020-09-19,La Liga,2020_2021,covid,1,Celta,Valencia,2,1,H,1,3,Home Win,bad,bad,NA,NA,1.0,0.0,H
2020-09-19,La Liga,2020_2021,covid,1,Getafe,Osasuna,1,0,H,0,3,Home Win,bad,bad,Alfonso Pérez,16000.0,0.0,0.0,D
2020-09-19,La Liga,2020_2021,covid,1,Villarreal,Eibar,2,1,H,1,1,Home Win,bad,bad,El Madrigal,26000.0,0.0,0.0,D
2020-09-19,Ligue 1,2020_2021,covid,1,Lens,Bordeaux,2,1,H,6,5,Home Win,medium,medium,Stade Félix Bollaert,41233.0,0.0,0.0,D
2020-09-19,Ligue 1,2020_2021,covid,1,Rennes,Monaco,2,1,H,7,7,Home Win,good,good,Stade de la Route de Lorient,31127.0,0.0,1.0,A
2020-09-19,Premier League,2020_2021,covid,1,Arsenal,West Ham,2,1,H,3,0,Home Win,bad,bad,Emirates Stadyumu,60361.0,1.0,1.0,D
2020-09-19,Premier League,2020_2021,covid,1,Everton,West Brom,5,2,H,3,0,Home Win,bad,bad,Goodison Park,40157.0,2.0,1.0,H
2020-09-19,Premier League,2020_2021,covid,1,Leeds,Fulham,4,3,H,0,0,Home Win,bad,bad,NA,NA,2.0,1.0,H
2020-09-19,Premier League,2020_2021,covid,1,Man United,Crystal Palace,1,3,A,0,3,Away Win,bad,bad,Old Trafford,75653.0,0.0,1.0,A
2020-09-19,Serie A,2020_2021,covid,1,Fiorentina,Torino,1,0,H,0,0,Home Win,bad,bad,Stadio Artemio Franchi,43147.0,0.0,0.0,D
2020-09-19,Serie A,2020_2021,covid,1,Verona,Roma,0,0,D,0,0,Draw,bad,bad,NA,NA,0.0,0.0,D
2020-09-20,Bundesliga,2020_2021,covid,1,RB Leipzig,Mainz,3,1,H,0,0,Home Win,bad,bad,Red Bull Arena,44345.0,2.0,0.0,H
2020-09-20,Bundesliga,2020_2021,covid,1,Wolfsburg,Leverkusen,0,0,D,0,0,Draw,bad,bad,Volkswagen Arena,30000.0,0.0,0.0,D
2020-09-20,La Liga,2020_2021,covid,1,Betis,Valladolid,2,0,H,3,1,Home Win,bad,bad,Benito Villamarín,52745.0,2.0,0.0,H
2020-09-20,La Liga,2020_2021,covid,1,Granada,Alaves,2,1,H,3,0,Home Win,bad,bad,NA,NA,1.0,1.0,D
2020-09-20,La Liga,2020_2021,covid,1,Huesca,Cadiz,0,2,A,1,0,Away Win,bad,bad,NA,NA,0.0,1.0,A
2020-09-20,La Liga,2020_2021,covid,1,Sociedad,Real Madrid,0,0,D,1,0,Draw,bad,bad,Anoeta,32076.0,0.0,0.0,D
2020-09-20,Ligue 1,2020_2021,covid,1,Brest,Lorient,3,2,H,3,3,Home Win,bad,bad,NA,NA,2.0,1.0,H
2020-09-20,Ligue 1,2020_2021,covid,1,Marseille,Lille,1,1,D,6,7,Draw,medium,good,Vélodrome Stadyumu,60013.0,0.0,0.0,D
2020-09-20,Ligue 1,2020_2021,covid,1,Metz,Reims,2,1,H,0,1,Home Win,bad,bad,NA,NA,1.0,1.0,D
2020-09-20,Ligue 1,2020_2021,covid,1,Montpellier,Angers,4,1,H,6,6,Home Win,medium,medium,Stade de la Mosson,32939.0,2.0,1.0,H
2020-09-20,Ligue 1,2020_2021,covid,1,Nantes,St Etienne,2,2,D,4,9,Draw,medium,good,Beaujoire Stadyumu,38285.0,0.0,1.0,A
2020-09-20,Ligue 1,2020_2021,covid,1,Nice,Paris SG,0,3,A,6,3,Away Win,medium,bad,Grand Stade Nice,35624.0,0.0,2.0,A
2020-09-20,Ligue 1,2020_2021,covid,1,Strasbourg,Dijon,1,0,H,0,0,Home Win,bad,bad,Meinau Stadyumu,29230.0,0.0,0.0,D
2020-09-20,Premier League,2020_2021,covid,1,Chelsea,Liverpool,0,2,A,3,3,Away Win,bad,bad,Stamford Bridge,42449.0,0.0,0.0,D
2020-09-20,Premier League,2020_2021,covid,1,Leicester,Burnley,4,2,H,3,0,Home Win,bad,bad,King Power Stadyumu,32312.0,1.0,1.0,D
2020-09-20,Premier League,2020_2021,covid,1,Newcastle,Brighton,0,3,A,3,0,Away Win,bad,bad,St James' Park,52409.0,0.0,2.0,A
2020-09-20,Premier League,2020_2021,covid,1,Southampton,Tottenham,2,5,A,0,0,Away Win,bad,bad,St Mary's Stadium,32689.0,1.0,1.0,D
2020-09-20,Serie A,2020_2021,covid,1,Genoa,Crotone,4,1,H,0,0,Home Win,bad,bad,NA,NA,3.0,1.0,H
2020-09-20,Serie A,2020_2021,covid,1,Juventus,Sampdoria,3,0,H,0,0,Home Win,bad,bad,Juventus Stadium,41507.0,1.0,0.0,H
2020-09-20,Serie A,2020_2021,covid,1,Parma,Napoli,0,2,A,0,0,Away Win,bad,bad,Stadio Ennio Tardini,27906.0,0.0,0.0,D
2020-09-20,Serie A,2020_2021,covid,1,Sassuolo,Cagliari,1,1,D,0,0,Draw,bad,bad,NA,NA,0.0,0.0,D
2020-09-21,Premier League,2020_2021,covid,1,Aston Villa,Sheffield United,1,0,H,0,0,Home Win,bad,bad,Villa Park,42786.0,0.0,0.0,D
2020-09-21,Premier League,2020_2021,covid,1,Wolves,Man City,1,3,A,3,0,Away Win,bad,bad,Molineux,24259.0,0.0,2.0,A
2020-09-21,Serie A,2020_2021,covid,1,Milan,Bologna,2,0,H,0,0,Home Win,bad,bad,NA,NA,1.0,0.0,H
2020-09-25,Bundesliga,2020_2021,covid,1,Hertha,Ein Frankfurt,1,3,A,3,1,Away Win,bad,bad,NA,NA,0.0,2.0,A
2020-09-25,Ligue 1,2020_2021,covid,1,Lille,Nantes,2,0,H,7,4,Home Win,good,medium,Stade Borne de l'Espoir,50186.0,1.0,0.0,H
2020-09-26,Bundesliga,2020_2021,covid,1,Augsburg,Dortmund,2,0,H,3,3,Home Win,bad,bad,Impuls Arena,30660.0,1.0,0.0,H
2020-09-26,Bundesliga,2020_2021,covid,1,Bielefeld,FC Koln,1,0,H,1,0,Home Win,bad,bad,NA,NA,0.0,0.0,D
2020-09-26,Bundesliga,2020_2021,covid,1,Leverkusen,RB Leipzig,1,1,D,1,3,Draw,bad,bad,NA,NA,1.0,1.0,D
2020-09-26,Bundesliga,2020_2021,covid,1,M'gladbach,Union Berlin,1,1,D,0,0,Draw,bad,bad,Stadion im Borussia-Park,54067.0,0.0,0.0,D
2020-09-26,Bundesliga,2020_2021,covid,1,Mainz,Stuttgart,1,4,A,0,0,Away Win,bad,bad,NA,NA,1.0,1.0,D
2020-09-26,Bundesliga,2020_2021,covid,1,Schalke 04,Werder Bremen,1,3,A,0,0,Away Win,bad,bad,NA,NA,0.0,2.0,A
2020-09-26,La Liga,2020_2021,covid,1,Alaves,Getafe,0,0,D,0,3,Draw,bad,bad,Mendizorrotza,19900.0,0.0,0.0,D
2020-09-26,La Liga,2020_2021,covid,1,Betis,Real Madrid,2,3,A,6,1,Away Win,medium,bad,Benito Villamarín,52745.0,2.0,1.0,H
