Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,season,season_type
2020-10-17,Bielefeld,Bayern Munich,1,4,A,0.0,3.0,A,,11.0,16.0,5.0,10.0,6.0,6.0,6.0,10.0,1.0,0.0,0.0,1.0,2020_2021,covid
2020-10-17,M'gladbach,Wolfsburg,1,1,D,0.0,0.0,D,,13.0,14.0,2.0,5.0,14.0,13.0,5.0,4.0,2.0,2.0,0.0,0.0,2020_2021,covid
2020-10-18,FC Koln,Ein Frankfurt,1,1,D,0.0,1.0,A,,9.0,16.0,5.0,4.0,19.0,18.0,2.0,8.0,3.0,2.0,0.0,0.0,2020_2021,covid
2020-10-18,Schalke 04,Union Berlin,1,1,D,0.0,0.0,D,,8.0,13.0,4.0,7.0,7.0,13.0,5.0,7.0,3.0,1.0,0.0,0.0,2020_2021,covid
2020-10-23,Stuttgart,FC Koln,1,1,D,1.0,1.0,D,,9.0,14.0,4.0,4.0,11.0,13.0,3.0,5.0,2.0,5.0,0.0,0.0,2020_2021,covid
2020-10-24,Bayern Munich,Ein Frankfurt,5,0,H,2.0,0.0,H,,20.0,9.0,10.0,2.0,11.0,12.0,10.0,2.0,3.0,0.0,0.0,0.0,2020_2021,covid
2020-10-24,Mainz,M'gladbach,2,3,A,2.0,1.0,H,,15.0,21.0,7.0,12.0,18.0,11.0,3.0,7.0,5.0,3.0,0.0,0.0,2020_2021,covid
2020-10-24,RB Leipzig,Hertha,2,1,H,1.0,1.0,D,,29.0,11.0,8.0,3.0,10.0,20.0,7.0,3.0,1.0,4.0,0.0,1.0,2020_2021,covid
2020-10-24,Union Berlin,Freiburg,1,1,D,1.0,1.0,D,,22.0,8.0,7.0,4.0,9.0,14.0,4.0,2.0,1.0,4.0,0.0,0.0,2020_2021,covid
2020-10-24,Dortmund,Schalke 04,3,0,H,0.0,0.0,D,,17.0,3.0,7.0,0.0,5.0,15.0,7.0,2.0,0.0,1.0,0.0,0.0,2020_2021,covid
2020-10-25,Wolfsburg,Bielefeld,2,1,H,2.0,0.0,H,,14.0,8.0,4.0,1.0,12.0,10.0,4.0,3.0,2.0,1.0,0.0,0.0,2020_2021,covid
2020-10-25,Werder Bremen,Hoffenheim,1,1,D,1.0,1.0,D,,5.0,15.0,2.0,6.0,10.0,20.0,1.0,4.0,2.0,2.0,0.0,0.0,2020_2021,covid
2020-10-26,Leverkusen,Augsburg,3,1,H,1.0,0.0,H,,15.0,7.0,7.0,3.0,14.0,8.0,3.0,3.0,1.0,2.0,0.0,0.0,2020_2021,covid
2020-10-30,Schalke 04,Stuttgart,1,1,D,1.0,0.0,H,,9.0,19.0,2.0,5.0,11.0,14.0,3.0,4.0,2.0,2.0,0.0,0.0,2020_2021,covid
2020-10-31,Augsburg,Mainz,3,1,H,1.0,0.0,H,,14.0,8.0,7.0,4.0,12.0,10.0,4.0,1.0,5.0,1.0,0.0,0.0,2020_2021,covid
2020-10-31,Bielefeld,Dortmund,0,2,A,0.0,0.0,D,,5.0,21.0,2.0,10.0,12.0,13.0,0.0,12.0,1.0,1.0,0.0,0.0,2020_2021,covid
2020-10-31,Ein Frankfurt,Werder Bremen,1,1,D,0.0,0.0,D,,14.0,9.0,5.0,4.0,12.0,14.0,5.0,3.0,1.0,3.0,0.0,0.0,2020_2021,covid
2020-10-31,FC Koln,Bayern Munich,1,2,A,0.0,2.0,A,,9.0,7.0,2.0,5.0,12.0,13.0,5.0,1.0,1.0,2.0,0.0,0.0,2020_2021,covid
2020-10-31,M'gladbach,RB Leipzig,1,0,H,0.0,0.0,D,,5.0,15.0,4.0,3.0,13.0,17.0,2.0,4.0,2.0,4.0,0.0,0.0,2020_2021,covid
2020-11-01,Freiburg,Leverkusen,2,4,A,1.0,2.0,A,,8.0,18.0,5.0,7.0,10.0,11.0,4.0,6.0,2.0,2.0,0.0,0.0,2020_2021,covid
2020-11-01,Hertha,Wolfsburg,1,1,D,1.0,1.0,D,,18.0,11.0,5.0,4.0,8.0,15.0,8.0,6.0,3.0,1.0,0.0,0.0,2020_2021,covid
2020-11-02,Hoffenheim,Union Berlin,1,3,A,0.0,0.0,D,,10.0,9.0,5.0,6.0,19.0,13.0,3.0,6.0,1.0,2.0,1.0,0.0,2020_2021,covid
2020-11-06,Werder Bremen,FC Koln,1,1,D,0.0,0.0,D,,18.0,8.0,4.0,1.0,20.0,20.0,1.0,3.0,2.0,2.0,0.0,0.0,2020_2021,covid
2020-11-07,Augsburg,Hertha,0,3,A,0.0,1.0,A,,10.0,12.0,2.0,6.0,12.0,10.0,2.0,6.0,3.0,0.0,0.0,0.0,2020_2021,covid
2020-11-07,Mainz,Schalke 04,2,2,D,2.0,1.0,H,,14.0,22.0,7.0,3.0,19.0,13.0,4.0,9.0,1.0,1.0,0.0,0.0,2020_2021,covid
2020-11-07,RB Leipzig,Freiburg,3,0,H,1.0,0.0,H,,15.0,8.0,7.0,3.0,14.0,14.0,3.0,4.0,2.0,3.0,0.0,0.0,2020_2021,covid
2020-11-07,Stuttgart,Ein Frankfurt,2,2,D,2.0,0.0,H,,16.0,15.0,5.0,8.0,14.0,16.0,10.0,8.0,2.0,4.0,0.0,0.0,2020_2021,covid
2020-11-07,Union Berlin,Bielefeld,5,0,H,3.0,0.0,H,,9.0,5.0,8.0,1.0,17.0,9.0,5.0,1.0,0.0,1.0,0.0,0.0,2020_2021,covid
2020-11-07,Dortmund,Bayern Munich,2,3,A,1.0,1.0,D,,15.0,16.0,5.0,8.0,15.0,7.0,4.0,3.0,2.0,2.0,0.0,0.0,2020_2021,covid
2020-11-08,Wolfsburg,Hoffenheim,2,1,H,2.0,0.0,H,,14.0,17.0,8.0,5.0,15.0,14.0,3.0,7.0,1.0,3.0,0.0,0.0,2020_2021,covid
2020-11-08,Leverkusen,M'gladbach,4,3,H,2.0,2.0,D,,15.0,15.0,5.0,6.0,15.0,12.0,6.0,2.0,4.0,2.0,0.0,0.0,2020_2021,covid
2020-11-21,Bayern Munich,Werder Bremen,1,1,D,0.0,1.0,A,,15.0,9.0,3.0,4.0,10.0,10.0,7.0,3.0,1.0,3.0,0.0,0.0,2020_2021,covid
2020-11-21,Bielefeld,Leverkusen,1,2,A,0.0,1.0,A,,1.0,10.0,1.0,4.0,6.0,10.0,0.0,10.0,0.0,1.0,0.0,0.0,2020_2021,covid
2020-11-21,Hoffenheim,Stuttgart,3,3,D,1.0,2.0,A,,13.0,20.0,8.0,9.0,15.0,18.0,3.0,4.0,3.0,2.0,0.0,0.0,2020_2021,covid
2020-11-21,M'gladbach,Augsburg,1,1,D,1.0,0.0,H,,15.0,10.0,6.0,5.0,7.0,12.0,2.0,1.0,1.0,4.0,0.0,1.0,2020_2021,covid
2020-11-21,Schalke 04,Wolfsburg,0,2,A,0.0,2.0,A,,13.0,19.0,6.0,8.0,12.0,11.0,6.0,4.0,0.0,1.0,0.0,0.0,2020_2021,covid
2020-11-21,Ein Frankfurt,RB Leipzig,1,1,D,1.0,0.0,H,,8.0,10.0,3.0,3.0,18.0,12.0,5.0,6.0,3.0,2.0,0.0,0.0,2020_2021,covid
2020-11-21,Hertha,Dortmund,2,5,A,1.0,0.0,H,,9.0,15.0,3.0,8.0,12.0,17.0,4.0,3.0,1.0,1.0,0.0,0.0,2020_2021,covid
2020-11-22,Freiburg,Mainz,1,3,A,0.0,3.0,A,,19.0,22.0,6.0,8.0,6.0,12.0,9.0,4.0,0.0,1.0,0.0,0.0,2020_2021,covid
2020-11-22,FC Koln,Union Berlin,1,2,A,1.0,1.0,D,,10.0,10.0,4.0,3.0,12.0,15.0,5.0,4.0,1.0,2.0,0.0,0.0,2020_2021,covid
2020-11-27,Wolfsburg,Werder Bremen,5,3,H,3.0,2.0,H,,12.0,5.0,6.0,4.0,12.0,12.0,0.0,5.0,2.0,3.0,0.0,1.0,2020_2021,covid
