Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,season,season_type
2025-01-05,Torino,Parma,0,0,D,0,0,D,,12,10,4,3,9,9,8,7,2,1,0,0,2024_2025,normal
2025-01-05,Roma,Lazio,2,0,H,2,0,H,,7,17,5,6,12,18,3,10,4,5,0,1,2024_2025,normal
2025-01-10,Lazio,Como,1,1,D,1,0,H,,12,17,4,4,14,15,7,7,4,3,1,0,2024_2025,normal
2025-01-11,Empoli,Lecce,1,3,A,0,2,A,,15,14,5,6,11,21,9,2,0,3,0,0,2024_2025,normal
2025-01-11,Udinese,Atalanta,0,0,D,0,0,D,,12,4,3,2,4,16,5,3,1,2,0,0,2024_2025,normal
2025-01-11,Torino,Juventus,1,1,D,1,1,D,,11,15,2,9,18,9,9,1,4,1,0,0,2024_2025,normal
2025-01-11,Milan,Cagliari,1,1,D,0,0,D,,24,6,11,2,9,11,9,1,1,2,0,0,2024_2025,normal
2025-01-12,Genoa,Parma,1,0,H,0,0,D,,14,9,4,3,10,10,6,9,2,3,0,0,2024_2025,normal
2025-01-12,Venezia,Inter,0,1,A,0,1,A,,7,17,2,6,12,11,4,5,4,1,0,0,2024_2025,normal
2025-01-12,Bologna,Roma,2,2,D,0,0,D,,14,11,8,4,18,10,5,4,4,1,0,0,2024_2025,normal
2025-01-12,Napoli,Verona,2,0,H,1,0,H,,14,6,3,2,6,5,8,1,0,0,0,0,2024_2025,normal
2025-01-13,Monza,Fiorentina,2,1,H,1,0,H,,10,11,3,2,26,9,2,4,4,1,0,0,2024_2025,normal
2025-01-14,Como,Milan,1,2,A,0,0,D,,12,12,4,6,11,17,2,4,1,6,0,0,2024_2025,normal
2025-01-14,Atalanta,Juventus,1,1,D,0,0,D,,17,17,6,9,10,7,3,3,1,1,0,0,2024_2025,normal
2025-01-15,Inter,Bologna,2,2,D,2,1,H,,12,14,6,6,19,13,3,3,0,0,0,0,2024_2025,normal
2025-01-17,Roma,Genoa,3,1,H,1,1,D,,16,7,7,3,12,12,3,2,1,1,0,0,2024_2025,normal
2025-01-18,Bologna,Monza,3,1,H,2,1,H,,18,3,7,1,16,18,4,0,1,3,0,0,2024_2025,normal
2025-01-18,Juventus,Milan,2,0,H,0,0,D,,15,13,6,3,19,11,5,5,0,2,0,0,2024_2025,normal
2025-01-18,Atalanta,Napoli,2,3,A,1,2,A,,15,6,6,3,18,9,3,1,4,2,0,0,2024_2025,normal
2025-01-19,Fiorentina,Torino,1,1,D,1,0,H,,20,6,6,3,16,11,9,2,3,3,0,1,2024_2025,normal
2025-01-19,Cagliari,Lecce,4,1,H,0,1,A,,19,7,7,2,11,10,6,1,3,1,0,1,2024_2025,normal
2025-01-19,Parma,Venezia,1,1,D,0,1,A,,19,7,8,2,13,16,8,2,2,3,0,0,2024_2025,normal
2025-01-19,Verona,Lazio,0,3,A,0,2,A,,16,14,3,5,10,8,5,6,6,2,1,0,2024_2025,normal
2025-01-19,Inter,Empoli,3,1,H,0,0,D,,18,5,7,1,11,9,7,3,0,0,0,0,2024_2025,normal
2025-01-20,Como,Udinese,4,1,H,2,0,H,,11,6,8,2,10,16,3,2,2,4,1,1,2024_2025,normal
2025-01-24,Torino,Cagliari,2,0,H,1,0,H,,18,6,6,1,11,10,6,3,0,1,0,0,2024_2025,normal
2025-01-25,Como,Atalanta,1,2,A,1,0,H,,15,5,5,3,15,10,4,5,2,3,0,0,2024_2025,normal
2025-01-25,Napoli,Juventus,2,1,H,0,1,A,,14,5,3,2,9,15,9,1,0,0,0,0,2024_2025,normal
2025-01-25,Empoli,Bologna,1,1,D,1,1,D,,5,9,1,8,25,13,2,4,0,0,0,0,2024_2025,normal
2025-01-26,Milan,Parma,3,2,H,1,1,D,,14,12,5,5,14,7,7,4,2,5,0,0,2024_2025,normal
2025-01-26,Udinese,Roma,1,2,A,1,0,H,,10,16,3,10,15,12,1,5,2,2,0,0,2024_2025,normal
2025-01-26,Lecce,Inter,0,4,A,0,2,A,,17,9,4,5,13,12,7,0,0,2,0,0,2024_2025,normal
2025-01-26,Lazio,Fiorentina,1,2,A,0,2,A,,22,7,3,3,9,12,14,2,1,4,0,1,2024_2025,normal
2025-01-27,Venezia,Verona,1,1,D,1,0,H,,9,21,1,5,16,14,7,9,1,1,0,0,2024_2025,normal
2025-01-27,Genoa,Monza,2,0,H,0,0,D,,18,5,6,1,13,19,9,6,0,4,0,0,2024_2025,normal
2025-01-31,Parma,Lecce,1,3,A,1,1,D,,19,6,7,3,8,14,3,2,1,2,0,0,2024_2025,normal
2025-02-01,Monza,Verona,0,1,A,0,1,A,,9,12,2,4,12,23,7,3,2,3,0,0,2024_2025,normal
2025-02-01,Udinese,Venezia,3,2,H,0,0,D,,13,14,5,3,20,9,4,6,3,3,0,0,2024_2025,normal
2025-02-01,Atalanta,Torino,1,1,D,1,1,D,,22,5,10,3,6,11,8,0,0,3,0,0,2024_2025,normal
2025-02-01,Bologna,Como,2,0,H,1,0,H,,15,8,4,1,16,18,4,2,3,4,0,1,2024_2025,normal
2025-02-02,Juventus,Empoli,4,1,H,0,1,A,,23,10,8,3,14,13,8,6,0,3,0,1,2024_2025,normal
2025-02-02,Fiorentina,Genoa,2,1,H,2,0,H,,7,17,6,3,17,14,1,8,3,1,0,0,2024_2025,normal
2025-02-02,Milan,Inter,1,1,D,1,0,H,,10,16,4,6,5,9,8,11,0,2,0,0,2024_2025,normal
2025-02-02,Roma,Napoli,1,1,D,0,1,A,,12,5,2,2,9,13,2,3,2,1,0,0,2024_2025,normal
2025-02-03,Cagliari,Lazio,1,2,A,0,1,A,,15,11,5,6,14,9,7,7,0,0,0,0,2024_2025,normal
2025-02-06,Fiorentina,Inter,3,0,H,0,0,D,,10,11,6,2,11,10,1,8,0,0,0,0,2024_2025,normal
2025-02-07,Como,Juventus,1,2,A,1,1,D,,16,8,6,3,15,15,9,1,3,1,0,0,2024_2025,normal
2025-02-08,Verona,Atalanta,0,5,A,0,4,A,,18,17,7,7,10,6,7,2,2,1,0,0,2024_2025,normal
2025-02-08,Empoli,Milan,0,2,A,0,0,D,,8,16,0,5,17,10,2,6,2,4,1,1,2024_2025,normal
2025-02-08,Torino,Genoa,1,1,D,1,0,H,,10,6,3,2,11,10,4,2,2,2,0,0,2024_2025,normal
2025-02-09,Venezia,Roma,0,1,A,0,0,D,,12,13,3,5,13,21,4,6,2,3,0,0,2024_2025,normal
2025-02-09,Cagliari,Parma,2,1,H,0,0,D,,14,9,3,1,14,12,7,6,0,0,0,0,2024_2025,normal
2025-02-09,Lazio,Monza,5,1,H,1,0,H,,26,3,9,1,10,12,8,1,0,1,0,0,2024_2025,normal
2025-02-09,Lecce,Bologna,0,0,D,0,0,D,,6,8,1,2,14,16,6,5,0,2,0,0,2024_2025,normal
2025-02-09,Napoli,Udinese,1,1,D,1,1,D,,18,8,4,4,11,10,6,6,0,1,0,0,2024_2025,normal
2025-02-10,Inter,Fiorentina,2,1,H,1,1,D,,22,7,8,2,16,15,8,1,4,3,0,0,2024_2025,normal
2025-02-14,Bologna,Torino,3,2,H,1,1,D,,23,8,7,5,7,17,8,2,0,4,0,0,2024_2025,normal
2025-02-15,Atalanta,Cagliari,0,0,D,0,0,D,,9,3,2,0,7,11,8,2,1,1,0,0,2024_2025,normal
2025-02-15,Lazio,Napoli,2,2,D,1,1,D,,12,6,5,3,9,19,7,1,2,2,0,0,2024_2025,normal
2025-02-15,Milan,Verona,1,0,H,0,0,D,,18,7,3,2,11,18,10,7,0,0,0,0,2024_2025,normal
2025-02-16,Fiorentina,Como,0,2,A,0,1,A,,5,8,3,4,14,24,2,1,3,2,0,0,2024_2025,normal
2025-02-16,Monza,Lecce,0,0,D,0,0,D,,8,19,3,5,10,18,3,7,2,2,0,0,2024_2025,normal
2025-02-16,Udinese,Empoli,3,0,H,1,0,H,,17,16,9,4,12,17,9,5,0,0,0,0,2024_2025,normal
2025-02-16,Parma,Roma,0,1,A,0,1,A,,5,16,1,4,11,5,1,10,0,0,0,0,2024_2025,normal
2025-02-16,Juventus,Inter,1,0,H,0,0,D,,16,17,8,2,17,10,7,5,1,1,0,0,2024_2025,normal
2025-02-17,Genoa,Venezia,2,0,H,0,0,D,,14,7,5,3,14,15,4,5,1,1,0,0,2024_2025,normal
2025-02-21,Lecce,Udinese,0,1,A,0,1,A,,10,12,1,5,15,11,11,8,1,3,0,0,2024_2025,normal
2025-02-22,Parma,Bologna,2,0,H,1,0,H,,4,16,3,1,14,13,0,4,2,1,0,0,2024_2025,normal
2025-02-22,Venezia,Lazio,0,0,D,0,0,D,,9,9,2,3,21,12,6,6,4,2,0,0,2024_2025,normal
2025-02-22,Torino,Milan,2,1,H,1,0,H,,9,26,3,8,14,5,4,11,1,1,0,0,2024_2025,normal
2025-02-22,Inter,Genoa,1,0,H,0,0,D,,18,11,5,2,7,14,6,7,0,2,0,0,2024_2025,normal
2025-02-23,Como,Napoli,2,1,H,1,1,D,,8,13,3,4,17,14,4,6,1,3,0,0,2024_2025,normal
2025-02-23,Verona,Fiorentina,1,0,H,0,0,D,,7,8,3,3,19,8,4,1,3,3,0,0,2024_2025,normal
2025-02-23,Empoli,Atalanta,0,5,A,0,3,A,,10,14,1,8,4,17,3,4,0,1,0,0,2024_2025,normal
2025-02-23,Cagliari,Juventus,0,1,A,0,1,A,,8,14,2,7,9,15,3,4,0,1,0,0,2024_2025,normal
2025-02-24,Roma,Monza,4,0,H,2,0,H,,23,5,6,2,6,7,6,3,0,1,0,0,2024_2025,normal
2025-02-27,Bologna,Milan,2,1,H,0,1,A,,14,8,4,4,13,15,4,5,1,2,0,0,2024_2025,normal
2025-02-28,Fiorentina,Lecce,1,0,H,1,0,H,,10,8,3,3,10,12,5,2,3,2,0,0,2024_2025,normal
2025-03-01,Atalanta,Venezia,0,0,D,0,0,D,,18,8,3,2,12,14,3,2,1,2,0,0,2024_2025,normal
2025-03-01,Napoli,Inter,1,1,D,0,1,A,,19,6,4,1,7,15,12,3,1,0,0,0,2024_2025,normal
2025-03-01,Udinese,Parma,1,0,H,1,0,H,,20,9,6,4,15,7,7,7,1,1,0,0,2024_2025,normal
2025-03-02,Monza,Torino,0,2,A,0,1,A,,9,13,2,7,10,20,1,4,2,2,0,0,2024_2025,normal
2025-03-02,Bologna,Cagliari,2,1,H,0,1,A,,15,2,5,1,15,24,4,1,1,2,0,0,2024_2025,normal
2025-03-02,Genoa,Empoli,1,1,D,0,1,A,,5,7,1,1,12,18,3,6,1,3,0,0,2024_2025,normal
2025-03-02,Roma,Como,2,1,H,0,1,A,,11,10,4,3,6,18,1,2,2,7,0,1,2024_2025,normal
2025-03-02,Milan,Lazio,1,2,A,0,1,A,,15,21,4,8,14,6,3,5,2,1,1,0,2024_2025,normal
2025-03-03,Juventus,Verona,2,0,H,0,0,D,,27,5,9,2,14,8,6,0,1,0,0,0,2024_2025,normal
2025-03-07,Cagliari,Genoa,1,1,D,1,0,H,,9,8,1,2,16,15,2,5,2,2,0,0,2024_2025,normal
2025-03-08,Como,Venezia,1,1,D,0,0,D,,12,11,7,6,11,14,3,5,2,3,0,0,2024_2025,normal
2025-03-08,Parma,Torino,2,2,D,0,1,A,,12,6,4,2,16,15,7,4,4,2,0,0,2024_2025,normal
