Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,season,season_type
2020-09-27,Reims,Paris SG,0,2,A,0,1,A,,8,21,3,7,11,10,3,7,2,2,0,0,2020_2021,covid
2020-10-02,Paris SG,Angers,6,1,H,2,0,H,,18,8,12,2,11,9,6,2,1,2,0,0,2020_2021,covid
2020-10-03,Lens,St Etienne,2,0,H,1,0,H,,13,2,5,1,23,10,12,0,1,1,0,2,2020_2021,covid
2020-10-03,Nice,Nantes,2,1,H,1,1,D,,18,11,7,1,13,8,9,2,2,1,0,1,2020_2021,covid
2020-10-04,Montpellier,Nimes,0,1,A,0,0,D,,12,8,2,1,14,15,8,2,2,1,0,0,2020_2021,covid
2020-10-04,Bordeaux,Dijon,3,0,H,2,0,H,,17,5,7,1,15,14,5,4,2,3,0,0,2020_2021,covid
2020-10-04,Brest,Monaco,1,0,H,1,0,H,,7,21,5,2,10,17,1,8,3,4,0,0,2020_2021,covid
2020-10-04,Metz,Lorient,3,1,H,1,1,D,,16,10,8,4,10,14,4,3,1,2,0,0,2020_2021,covid
2020-10-04,Strasbourg,Lille,0,3,A,0,1,A,,14,12,3,6,11,10,11,1,1,1,0,0,2020_2021,covid
2020-10-04,Rennes,Reims,2,2,D,2,1,H,,18,9,3,4,12,16,10,2,4,3,0,0,2020_2021,covid
2020-10-04,Lyon,Marseille,1,1,D,1,1,D,,24,4,3,1,14,10,19,5,1,1,0,1,2020_2021,covid
2020-10-16,Dijon,Rennes,1,1,D,0,1,A,,12,12,4,3,22,13,3,5,4,2,0,0,2020_2021,covid
2020-10-16,Nimes,Paris SG,0,4,A,0,1,A,,5,30,2,11,10,12,1,9,1,2,1,0,2020_2021,covid
2020-10-17,Reims,Lorient,1,3,A,1,0,H,,6,14,3,4,14,11,3,6,4,1,2,0,2020_2021,covid
2020-10-17,Marseille,Bordeaux,3,1,H,1,0,H,,6,8,4,4,13,13,6,10,3,1,0,0,2020_2021,covid
2020-10-18,Strasbourg,Lyon,2,3,A,1,3,A,,20,14,9,8,13,8,4,2,2,3,0,0,2020_2021,covid
2020-10-18,Angers,Metz,1,1,D,1,1,D,,7,7,2,3,18,13,2,5,4,2,0,0,2020_2021,covid
2020-10-18,Monaco,Montpellier,1,1,D,0,0,D,,21,3,7,2,13,13,10,2,2,1,0,1,2020_2021,covid
2020-10-18,Nantes,Brest,3,1,H,2,0,H,,12,14,8,5,15,15,2,6,3,2,0,0,2020_2021,covid
2020-10-18,St Etienne,Nice,1,3,A,0,2,A,,11,11,4,5,15,10,7,3,2,5,0,0,2020_2021,covid
2020-10-18,Lille,Lens,4,0,H,1,0,H,,17,7,6,2,13,16,7,2,0,3,0,2,2020_2021,covid
2020-10-23,Rennes,Angers,1,2,A,1,1,D,,11,10,1,4,11,5,5,4,2,0,0,0,2020_2021,covid
2020-10-24,Lorient,Marseille,0,1,A,0,0,D,,13,15,3,3,10,12,6,4,3,3,0,0,2020_2021,covid
2020-10-24,Paris SG,Dijon,4,0,H,2,0,H,,20,16,9,3,12,18,4,10,0,2,0,0,2020_2021,covid
2020-10-25,Bordeaux,Nimes,2,0,H,0,0,D,,20,8,6,4,9,16,7,4,3,3,0,0,2020_2021,covid
2020-10-25,Brest,Strasbourg,0,3,A,0,2,A,,14,7,4,5,8,11,12,2,1,3,0,0,2020_2021,covid
2020-10-25,Metz,St Etienne,2,0,H,1,0,H,,6,10,3,0,11,18,5,3,3,3,0,0,2020_2021,covid
2020-10-25,Montpellier,Reims,0,4,A,0,3,A,,5,24,1,9,7,11,3,8,1,0,2,0,2020_2021,covid
2020-10-25,Nice,Lille,1,1,D,0,0,D,,8,12,3,4,13,18,5,3,1,6,0,0,2020_2021,covid
2020-10-25,Lyon,Monaco,4,1,H,4,0,H,,15,18,6,5,12,15,2,12,3,4,1,0,2020_2021,covid
2020-10-31,Rennes,Brest,2,1,H,0,0,D,,24,9,8,4,2,12,8,1,1,3,0,0,2020_2021,covid
2020-10-31,Nantes,Paris SG,0,3,A,0,0,D,,6,13,1,4,13,13,2,4,2,1,0,0,2020_2021,covid
2020-11-01,St Etienne,Montpellier,0,1,A,0,1,A,,8,10,0,2,16,17,8,2,3,3,0,0,2020_2021,covid
2020-11-01,Angers,Nice,0,3,A,0,2,A,,11,12,5,5,18,12,9,5,5,2,0,0,2020_2021,covid
2020-11-01,Dijon,Lorient,0,0,D,0,0,D,,11,9,2,1,18,13,9,7,2,1,0,0,2020_2021,covid
2020-11-01,Nimes,Metz,0,1,A,0,1,A,,16,8,2,5,13,15,10,1,3,2,0,1,2020_2021,covid
2020-11-01,Reims,Strasbourg,2,1,H,2,1,H,,12,9,4,3,13,13,5,3,0,2,0,0,2020_2021,covid
2020-11-01,Monaco,Bordeaux,4,0,H,3,0,H,,17,5,6,0,10,12,10,4,2,2,0,0,2020_2021,covid
2020-11-01,Lille,Lyon,1,1,D,1,1,D,,15,8,6,1,14,10,9,4,3,3,0,1,2020_2021,covid
2020-11-06,Strasbourg,Marseille,0,1,A,0,0,D,,9,1,2,1,13,17,2,2,0,4,0,0,2020_2021,covid
2020-11-07,Bordeaux,Montpellier,0,2,A,0,0,D,,9,9,1,3,14,10,3,5,2,1,0,0,2020_2021,covid
2020-11-07,Paris SG,Rennes,3,0,H,2,0,H,,9,16,6,3,19,15,2,7,3,0,0,0,2020_2021,covid
2020-11-08,Brest,Lille,3,2,H,3,1,H,,12,22,8,7,13,15,3,11,4,3,0,0,2020_2021,covid
2020-11-08,Lens,Reims,4,4,D,1,0,H,,14,8,5,6,12,7,9,1,3,1,0,0,2020_2021,covid
2020-11-08,Lorient,Nantes,0,2,A,0,0,D,,18,16,4,4,17,9,5,5,3,1,0,0,2020_2021,covid
2020-11-08,Metz,Dijon,1,1,D,1,1,D,,14,14,4,6,16,11,5,6,2,1,0,0,2020_2021,covid
2020-11-08,Nimes,Angers,1,5,A,0,2,A,,11,15,4,8,12,15,6,2,2,5,0,0,2020_2021,covid
2020-11-08,Nice,Monaco,1,2,A,0,1,A,,8,15,4,8,8,16,1,4,2,2,0,0,2020_2021,covid
2020-11-08,Lyon,St Etienne,2,1,H,0,1,A,,18,16,6,4,19,19,3,5,5,3,0,0,2020_2021,covid
2020-11-20,Rennes,Bordeaux,0,1,A,0,1,A,,14,6,2,3,18,19,7,3,2,2,0,0,2020_2021,covid
2020-11-20,Monaco,Paris SG,3,2,H,0,2,A,,15,9,5,4,12,19,2,1,2,3,0,1,2020_2021,covid
2020-11-21,Brest,St Etienne,4,1,H,4,1,H,,10,17,5,1,12,10,5,6,1,1,0,0,2020_2021,covid
2020-11-22,Nantes,Metz,1,1,D,1,1,D,,17,10,5,4,13,14,6,2,2,3,0,0,2020_2021,covid
2020-11-22,Dijon,Lens,0,1,A,0,1,A,,10,6,2,2,14,6,8,6,2,0,0,0,2020_2021,covid
2020-11-22,Montpellier,Strasbourg,4,3,H,3,3,D,,21,9,9,5,16,11,11,3,2,1,0,0,2020_2021,covid
2020-11-22,Reims,Nimes,0,1,A,0,0,D,,16,6,6,5,18,11,7,1,3,1,0,0,2020_2021,covid
2020-11-22,Angers,Lyon,0,1,A,0,0,D,,20,5,8,2,12,12,8,3,2,3,0,0,2020_2021,covid
2020-11-22,Lille,Lorient,4,0,H,1,0,H,,31,7,13,2,10,11,9,4,1,3,0,0,2020_2021,covid
2020-11-25,Lens,Nantes,1,1,D,1,0,H,,7,11,1,3,14,18,6,2,4,2,0,0,2020_2021,covid
2020-11-27,Strasbourg,Rennes,1,1,D,1,0,H,,6,21,3,7,11,12,2,7,0,0,1,0,2020_2021,covid
2020-11-28,Marseille,Nantes,3,1,H,2,0,H,,15,6,9,2,16,11,3,7,4,2,0,0,2020_2021,covid
2020-11-28,Paris SG,Bordeaux,2,2,D,2,1,H,,16,18,9,4,8,10,14,5,1,1,0,0,2020_2021,covid
2020-11-29,Lyon,Reims,3,0,H,1,0,H,,14,10,4,2,19,11,4,2,2,1,0,1,2020_2021,covid
2020-11-29,Lens,Angers,1,3,A,1,1,D,,13,18,5,7,15,13,1,7,2,2,0,0,2020_2021,covid
