team,stadium,capacity
Paris SG,Parc des Princes,48,712
Marseille,Vélodrome Stadyumu,60013
Lens,Stade Félix Bollaert,41233
Lyon,Gerland Stadyumu,41044
Nantes,Beaujoire Stadyumu,38285
Toulouse,Belediye Stadyumu (Toulouse),35575
Montpellier,Stade de la Mosson,32939
Rennes,Stade de la Route de Lorient,31127
Strasbourg,Meinau Stadyumu,29230
Auxerre,Stade de l'Abbé-Deschamps,23467
Reims,Stade Auguste-Delaune II,21684
Lyon,OL Arena,61556
Lille,Stade Borne de l'Espoir,50186
Nice,Grand Stade Nice,35624
