Stadium,Image,Club,Location,Opened,Closed,Capacity,vteSerie A venues,vteSerie A venues.1,vteSerie A,vteSerie A.1
Stadio Sant'Elia,,Cagliari,Cagliari,1970.0,2019.0,16233,,,,
Stadio San Filippo,,Messina,Messina,2004.0,,38722,,,,
Stadio San Nicola,,Bari,Bari,1990.0,,58270,,,,
Stadio Silvio Appiani,,Padova,Padova,1924.0,1994.0,24000,,,,
Stadio Silvio Piola,,Novara,Novara,1976.0,,17875,,,,
Stadio Silvio Piola,,Pro Vercelli,Vercelli,1932.0,,5500,,,,
Stadio Via del Mare,,Lecce,Lecce,1966.0,,40670,,,,
Stadio della Vittoria,,Bari,Bari,1934.0,1990.0,19253,,,,
Stadium di Viale Piave,,Brescia,Brescia,1921.0,1959.0,2500,,,,
,,,,,,,Current,Atleti Azzurri d'Italia Bentegodi Dall'Ara Ferraris Franchi Friuli Garibaldi – Stadio Romeo Anconetani Juventus Stadium Mapei Stadium Maradona Olimpico Olimpico Grande Torino San Siro Sinigaglia Tardini Unipol Domus Via del mare Zini,,
,,,,,,,Former,Adriatico – Giovanni Cornacchia Appiani Amsicora Arechi Franchi – Montepaschi Arena Barbera Braglia Brianteo Castellani Celeste Ceravolo Collana Conero Curi Del Duca Elisa Euganeo Filadelfia Garilli Granillo Grezar Liberati Littorio Manuzzi Mari Martelli Massimino Mazza Melani Menti Militare dell'Arenaccia Mirabello Moccagatta Ossola Palli Partenopeo Partenio-Adriano Lombardi Patti Penzo Picchi Picco Piola (Novara) Piola (Vercelli) Rigamonti Rigamonti-Ceppi San Filippo San Nicola Scida Speroni Stirpe Tenni Umberto I Vestuti Vigorito Vittoria Zaccheria,,
,,,,,,,Demolished,Bentegodi (1906–1963) Campo degli Sports Campo Testaccio Corso Marsiglia Corso Sebastopoli Delle Alpi Matusa Moretti Nazionale PNF Rondinella Sant'Elia Viale Piave,,
,,,,,,,,,2025–26 clubs,Atalanta Bologna Cagliari Como Cremonese Fiorentina Genoa Hellas Verona Inter Milan Juventus Lazio Lecce AC Milan Napoli Parma Pisa Roma Sassuolo Torino Udinese
,,,,,,,,,Former clubs,Alessandria Ancona Ascoli Avellino Bari Benevento Brescia Carpi Casale Catania Catanzaro Cesena Chievo Crotone Empoli Foggia Frosinone Lecco Legnano Livorno Lucchese Mantova Messina Modena Monza Novara Padova Palermo Perugia Pescara Piacenza Pistoiese Pro Patria Pro Vercelli Reggiana Reggina Salernitana Sampdoria Siena SPAL Spezia Ternana Treviso Triestina Varese Venezia Vicenza
,,,,,,,,,Organisations,Lega Serie A Defunct: Lega Calcio Lega Alta Italia Direttorio Superiore Lega Nord
,,,,,,,,,Competition,Teams winners Players foreign Managers Stadia
,,,,,,,,,Statistics and awards,Records Serie A Awards Coach of the Month Player of the Month Rising Star of the Month Goal of the Month Team of the Year Footballer of the Year Coach of the Year Goalkeeper of the Year Referee of the Year Football Club of the Year Italian Footballer of the Year Foreign Footballer of the Year Young Footballer of the Year Defender of the Year Top scorers Players with 100+ goals Hat-tricks
,,,,,,,,,Finances,Richest clubs: Deloitte list Forbes list
,,,,,,,,,History,Prima Divisione Divisione Nazionale
,,,,,,,,,Associated competitions,Coppa Italia Supercoppa Italiana Serie B Serie C Serie D European UEFA Champions League UEFA Europa League UEFA Conference League
