#,Resim,Stadyum,Kapasite,Şehir,Özerk topluluk,Ev Sahibi Takım,Açılış,Sıra,Başlangıç/bitiş,gtdİspanya'da futbol,gtdİspanya'da futbol.1,gtdAvrupa'daki futbol stadyumu listeleri,gtdAvrupa'daki futbol stadyumu listeleri.1
63.0,,Camp del Centenari,10.000,Badalona,Katalonya,CF Badalona,1972.0,,,,,,
64.0,,Bahía Sur,10.000,"San Fernando, Cádiz",Endülüs,San Fernando CD,1992.0,,,,,,
65.0,,Municipal La Línea,10.000,La Línea de la Concepción,Endülüs,RB Linense,1969.0,,,,,,
66.0,,José Antonio Elola,10.000,Tudela,Navarra,CD Tudelano,1969.0,,,,,,
67.0,,Estadio Los Pajaritos,9.500,Soria,Kastilya ve Leon,CD Numancia,1999.0,,,,,,
68.0,,Montilivi,9.500,Girona,Katalonya,Girona FC,1970.0,,,,,,
69.0,,Can Misses,9.500,Ibiza,Balear Adaları,UD Ibiza-Eivissa,1957.0,,,,,,
70.0,,El Toralín,8.200,Ponferrada,Kastilya ve Leon,SD Ponferradina,2000.0,,,,,,
71.0,,La Nueva Balastera,8.100,Palencia,Kastilya ve Leon,CF Palencia,1943.0,,,,,,
72.0,,Lasesarre,8.000,Barakaldo,Bask,Barakaldo CF,2001.0,,,,,,
73.0,,El Malecón,8.000,Torrelavega,Kantabria,Gimnástica de Torrelavega,1922.0,,,,,,
74.0,,Santo Domingo,7.000,Alcorcón,Madrid,AD Alcorcón,1971.0,,,,,,
,,Nou Mestalla,75.0,Valensiya,Valencia,Valencia,,1.0,2007-2013,,,,
,,Estadio La Peineta,70.0,Madrid,Madrid,Atlético Madrid,,2.0,2011-2014,,,,
,,San Mamés Barria,55.5,Bilbao,Bask,Athletic Bilbao,,3.0,2010-2014,,,,
,,Nuevo Estadio de San José,43.0,Zaragoza,Aragon,Real Zaragoza,,4.0,2011-2014,,,,
,,Nou Lluís Sitjar,32.0,Palma de Mallorca,Balear Adaları,Mallorca,,5.0,2013-2016,,,,
,,,,,,,,,,İspanya Kraliyet Futbol Federasyonu,İspanya Kraliyet Futbol Federasyonu,,
,,,,,,,,,,Millî takımlar,Erkek millî takımı Kadın millî takımı U23 U21 U20 U19 U18 U17 U16,,
,,,,,,,,,,Lig müsabakaları,La Liga Segunda División Primera División RFEF Segunda División RFEF Tercera Federación,,
,,,,,,,,,,Kupa müsabakaları,Copa del Rey Copa de la Liga Supercopa de España Copa Federación,,
,,,,,,,,,,Ödüller,Pichichi Ödülü Ricardo Zamora Ödülü,,
,,,,,,,,,,Kapanan turnuvalar,Segunda División B Tercera División,,
,,,,,,,,,,Yılın Futbolcusu Stadyumlar Kulüpler,Yılın Futbolcusu Stadyumlar Kulüpler,,
,,,,,,,,,,,,Egemen devletler,Almanya · Arnavutluk · Andorra · Avusturya · Azerbaycan · Belçika · Beyaz Rusya · Birleşik Krallık (İngiltere · Kuzey İrlanda · İskoçya · Galler) · Bosna-Hersek · Bulgaristan · Çek Cumhuriyeti · Danimarka · Ermenistan · Estonya · Finlandiya · Fransa · Gürcistan · Hırvatistan · Hollanda · İrlanda · İspanya · İsveç · İsviçre · İtalya · İzlanda · Kazakistan · Kıbrıs Cumhuriyeti · Letonya · Lihtenştayn · Litvanya · Lüksemburg · Makedonya · Macaristan · Malta · Moldova · Monako · Karadağ · Norveç · Polonya · Portekiz · Romanya · Rusya · San Marino · Sırbistan · Slovakya · Slovenya · Türkiye · Ukrayna · Yunanistan
,,,,,,,,,,,,Sınırlı tanınan devletler,Åland · Faroe Adaları · Cebelitarık · Guernsey · Man Adası · Jersey Svalbard
,,,,,,,,,,,,Bağımlı ve diğer oluşumlar,Abhazya · Artsak · Kosovo · KKTC · Güney Osetya · Transnistria
